ranking,Korean_word,etymology,Japanese_meaning,memo,part_of_speech,hint,grade
895,위치,,位置,,명,位置,B
2420,위치하다,,位置する,,동,位置-,B
33,위하다,,重んじる,,동,爲-,B
1744,위험,,危険,,명,危險,A
2141,위험하다,,危険だ,,형,危險-,A
2717,유교,,儒教,,명,儒敎,B
2604,유난히,,特に,,부,,B
,유럽,,ヨーロッパ,,고,Europe,B
3247,유리,,ガラス,,명,琉璃,B
4721,유리창,,ガラスの窓,,명,琉璃窓,B
4926,유명,,有名,,명,有名,B
1605,유명하다,,有名だ,,형,有名-,A
1080,유월,,6月,,명,六月,A
3489,유치원,,幼稚園,,명,幼稚園,B
2838,유학01,,留学,,명,留學,B
4452,유학02,,儒学,,명,儒學,B
6655,유학생,,留学生,,명,留學生,B
3542,유행,,流行,,명,流行,B
5043,유행하다,,流行する,,동,流行-,B
17406,육,,6,,수,六,A
28580,육십,,60,,수,六十,A
5045,으응,,ううん,不満や苛立ちを示す感嘆詞。,감,,B
599,은행,,銀行,,명,銀行,A
1487,음,,うーん,不満や心配を示す感嘆詞。,감,,B
2291,음료,,飲み物、飲料,,명,飮料,B
7093,음료수,,ソフトドリンク,,명,飮料水,B
395,음식,,食べ物,,명,飮食,A
586,음악,,音楽,,명,音樂,A
8499,음악가,,音楽家,,명,音樂家,B
1110,응,,うん,,감,,B
726,의견,,意見,,명,意見,B
228,의미,,意味,,명,意味,B
1394,의미하다,,意味する,,동,意味-,B
1295,의사,,医師,,명,醫師,A
2872,의심하다,,疑う,,동,疑心-,B
2292,의자,,椅子,,명,椅子,A
110,의하다,,依る,,동,依-,B
2692,이01,,歯,,명,신체,A
14,이02,,この,,관,,A
30,이03,,これ,書き言葉。,대,,A
9733,이04,,2,,수,二,A
314,이거,,これ,「이것」の話し言葉,대,,A
170,이것,,これ,,대,,A
5656,이것저것,,あれこれ,,명,,B
624,이곳,,ここ,,대,,A
9294,이곳저곳,,あちこち,,명,,B
1111,이기다,,勝つ,,동,적에게 ~,B
618,이날,,この日,,명,,B
2366,이동,,移動,,명,移動,B
13671,이따가,,少し後で,,부,,B
548,이때,,この時,,명,,A
113,이러하다,,こうだ,,형,,B
83,이런,,こんな～,,관,,A
,이렇게,,こう、このように,,불,이러하게,B
105,이렇다,,こうだ,,형,,A
322,이루다,,成す、成し遂げる,,동,,B
359,이루어지다,,実現する,,동,,B
1928,이뤄지다,,実現する,「이루어지다」の縮まった形。,동,,B
320,이르다01,,至る,,동,도착하다,B
2557,이르다02,,早い,,형,빠르다,B
241,이름,,名前,,명,,A
3545,이리,,こちらに,,부,~ 오너라,B
2476,이마,,額,,명,,B
4827,이모,,母親の姉妹,,명,姨母,B
232,이미,,既に,,부,,B
1100,이미지,,イメージ,,명,image,B
9738,이발소,,散髪屋,,명,理髮所,B
172,이번,,今回の,,명,#NAME?,A
8505,이분,,この方,,대,,A
2718,이불,,布団,,명,,B
6117,이빨,,歯,,명,,B
1953,이사,,引っ越し,,명,移徙,B
8189,이사하다,,引っ越す,,동,移徙-,B
194,이상01,,以上,,명,以上,B
2694,이상02,,理想,,명,理想,B
2117,이상03,,異常,,명,異常,B
732,이상하다,,おかしい、異常だ,,형,異常-,B
2719,이성,,理性,,명,理性,B
51771,이십,,20,,수,二十,A
197,이야기,,話,,명,,A
539,이야기하다,,話す,,동,,A
1438,이외,,以外,,명,以外,B
1642,이용,,利用,,명,利用,B
2806,이용되다,,利用される,,동,利用-,B
305,이용하다,,利用する,,동,利用-,B
951,이웃,,隣、隣人,,명,,B
5532,이웃집,,隣の家,,명,,B
1783,이월,,2月,,명,二月,A
249,이유,,理由,,명,理由,B
1412,이익,,利益,,명,利益,B
869,이전,,以前,,명,以前,B
210,이제,,今、これから、もう,過去との違いを強調する意味で用いられる「今」,부,,A
1885,이쪽,,こちら,,대,,A
2807,이튿날,,次の日,,명,,B
2422,이틀,,二日間,,명,시간,B
1965,이하,,以下,,명,以下,B
930,이해,,理解,,명,理解,B
515,이해하다,,理解する,,동,理解-,A
7339,이혼,,離婚,,명,離婚,B
10196,이혼하다,,離婚する,,동,離婚-,B
270,이후,,以降,,명,以後,B
2975,익다,,熟す、熟れる,,동,감이 ~,B
3708,익숙하다,,慣れている,,형,,B
4011,익숙해지다,,慣れる,,동,,B
102,인간,,人間,日本語の「人間」よりも客観的なニュアンスが強い。,명,人間,B
1302,인구,,人口,,명,人口,B
849,인기,,人気,,명,人氣,B
4374,인분,,～人分,,의,人分. 3~,B
1488,인사01,,人物,,명,人士,A
1204,인사02,,挨拶,,명,人事,A
8893,인사말,,挨拶の言葉,,명,人事-,B
4096,인사하다,,挨拶する,,동,人事-,A
8512,인삼,,朝鮮人参,,명,人蔘,B
15996,인삼차,,朝鮮人参茶,,명,人蔘茶,B
8513,인상01,,人相,,명,人相,B
2451,인상02,,印象,,명,印象,B
880,인생,,人生,,명,人生,B
4298,인원,,人数、人員,,명,人員,B
1594,인제,,今、これから、もう,「이제」の異なる発音。,부,,B
,인천,,仁川,ソウルの西に位置する港湾都市。海港と空港がある。,고,仁川,A
,인천공항,,仁川空港,正式名称は「인천국제공항」（仁川国際空港）,고,仁川空港,B
2452,인터넷,,インターネット,,명,internet,B
4300,인터뷰,,インタビュー,,명,interview,B
4636,인형,,人形、ぬいぐるみ,,명,人形,B
29,일01,,仕事、用事、出来事,,명,,A
7600,일02,,1,,수,一,A
41,일03,,～日[にち],,의,하루,A
17461,일곱,,7,,수,,A
7883,일기01,,天気,,명,日氣,B
3433,일기02,,日記,,명,日記,B
8191,일등,,一等,,명,一等,B
696,일반,,一般,,명,一般,B
1324,일반적,,一般的,,명,一般的,B
,일본,,日本,,고,日本,A
12030,일본어,,日本語,,명,日本語,A
398,일부,,一部,,명,一部,B
2720,일상,,日常,,명,日常,B
3014,일상생활,,日常生活,,명,日常生活,B
216,일어나다,,起きる、立ち上がる,,동,,A
1784,일요일,,日曜日,,명,日曜日,A
1725,일월,,1月,,명,一月,A
680,일으키다,,起こす,,동,,B
3083,일정,,日程,,명,日程,B
1456,일주일,,一週間,,명,一週日,A
1186,일찍,,早く,,부,,A
661,일하다,,働く,,동,,A
7343,일회용,,使い捨て,,명,一回用,B
9305,일회용품,,使い捨て用品,,명,一回用品,B
13695,일흔,,70,,수,,A
209,읽다,,読む,,동,,A
9306,읽히다,,読まれる,,동,'읽다'의 피동사,B
756,잃다,,失う,,동,,A
2606,잃어버리다,,なくしてしまう,,동,,A
1048,임금,,賃金,,명,賃金,B
2808,임시,,臨時,,명,臨時,B
1549,임신,,妊娠,,명,妊娠,B
338,입,,口,,명,,A
2165,입구,,入り口,,명,入口,B
354,입다,,着る,,동,옷을 ~,A
1679,입술,,唇,,명,,B
6293,입원,,入院,,명,入院,B
6872,입원하다,,入院する,,동,入院-,B
2012,입학,,入学,,명,入學,B
4302,입학하다,,入学する,,동,入學-,B
4,있다,,ある、いる,,형,,A
931,잊다,,忘れる,,동,,A
2905,잊어버리다,,忘れてしまう,,동,,A
1680,잎,,葉,,명,,A
1277,자,,さあ,何かを始めることを促す感嘆詞,감,,B
5264,자가용,,自家用,,명,自家用,B
2204,자격,,資格,,명,資格,B
126,자기,,自分、自己、あなた,,대,自己,B
1385,자꾸,,しょっちゅう,否定的なニュアンスを伴う。,부,,B
3654,자꾸만,,しょっちゅう,否定的なニュアンスを伴う。,부,,B
541,자다,,寝る、眠る,,동,,A
2721,자동,,自動,,명,自動,B
796,자동차,,自動車,,명,自動車,A
5139,자라나다,,育つ,,동,,B
767,자라다,,育つ,,동,커지다,B
2581,자랑스럽다,,自慢だ、誇らしい,,형,,B
2875,자랑하다,,自慢する、誇る,,동,,B
509,자료,,資料,,명,資料,B
1166,자르다,,切る,,동,,B
229,자리,,席,,명,~가 없다,A
2255,자세히,,詳しく,,부,仔細-,B
504,자식,,子ども、～奴,,명,子息,B
72,자신01,,自身、自分,,명,自身,B
2143,자신02,,自身,,명,自信,B
348,자연,,自然,,명,自然,B
924,자연스럽다,,自然だ,,형,自然-,B
757,자유,,自由,,명,自由,B
1278,자유롭다,,自由だ,,형,自由-,B
5048,자장면,,韓国式ジャージャー麺,,명,&중Zhajiangmian,A
1224,자전거,,自転車,,명,自轉車,A
674,자주,,よく、しょっちゅう、頻繁に,,부,,A
286,자체,,自体,,명,自體,B
8904,자판기,,自販機,,명,自販機,B
565,작가,,作家,,명,作家,B
1040,작년,,去年、昨年,,명,昨年,A
259,작다,,小さい,,형,,A
8198,작아지다,,小さくなる,,동,,B
884,잔,,盃、グラス,,명,盞,A
2166,잔뜩,,いっぱい,,부,,B
3710,잔치,,パーティー,,명,,B
68,잘,,よく、上手に,,부,,A
1402,잘되다,,うまくいく,,동,,B
1371,잘못01,,誤り,,명,,B
1775,잘못02,,間違って～、誤って～,,부,,B
1541,잘못되다,,間違う、誤る,,동,,B
1861,잘못하다,,間違う、誤る,,동,,B
6295,잘살다,,金持ちだ,,동,,B
6668,잘생기다,,ハンサムだ,常に過去形で用いる,형,,B
479,잘하다,,上手だ、うまい,,동,,A
640,잠,,眠り,「자다」（寝る）の名詞形。,명,,A
2582,잠깐,,ちょっとの時間,,명,,A
2608,잠들다,,寝る、寝入る,,동,,B
722,잠시,,少しの間、ちょっと,,부,暫時,A
12049,잠옷,,寝間着,,명,,B
4547,잠자다,,寝る、眠る,,동,,A
202,잡다,,掴む、捕まえる,,동,,A
6878,잡수시다,,召し上がる,「먹다」（食べる、飲む）の尊敬語。,동,,A
1862,잡지,,雑誌,,명,雜誌,A
1550,잡히다,,捕まる,,동,'잡다'의 피동사,B
925,장01,,～枚,紙など、薄く広いものを数える単位。,의,張. 종이 한 ~,A
2664,장02,,章、チャプター,,명,章,B
6296,장가,,男性が結婚すること,,명,~가다,B
12051,장갑,,手袋,,명,掌匣,B
1200,장군,,将軍,,명,將軍,B
6879,장난감,,おもちゃ,,명,,B
4152,장남,,長男,,명,長男,B
2722,장래,,将来,,명,將來,B
7605,장마,,梅雨,,명,,B
12818,장미,,[薔薇>ばら],,명,薔薇,A
2220,장사,,商売,,명,,B
1325,장소,,場所,,명,場所,A
2779,장점,,長所,,명,長點,B
6129,장학금,,奨学金,,명,奬學金,B
750,재료,,材料,,명,材料,B
1439,재미,,面白み,,명,,A
5538,재미없다,,つまらない,,형,,A
697,재미있다,,面白い,,형,,A
662,재산,,財産,,명,財産,B
9757,재작년,,一昨年,,명,再昨年,B
9758,재채기,,くしゃみ,,명,,B
6131,쟤,,あいつ、あのこ,「저 아이」を縮めた言葉。,불,저 아이,B
56,저01,,私,,대,일인칭 대명사,A
460,저02,,あの,,관,멀리 있는 대상,A
7608,저03,,あれ、あの人,文章語,대,멀리 있는 대상,A
1833,저04,,あの～,話しかける時に用いる感嘆詞,감,,B
4015,저거,,あれ,,대,,A
4304,저것,,あれ,,대,,A
52763,저곳,,あそこ,,대,,A
1692,저기,,あそこ,,대,,A
634,저녁,,夕方,,명,,A
8910,저녁때,,夕方,,명,,B
3773,저런,,あんな,,관,,B
,저렇게,,ああ、あんなに,,불,저러하게,B
3085,저렇다,,ああだ,,형,,B
6674,저리,,あちらに,,부,저곳으로,B
7897,저번,,あの時,,명,這番,B
5661,저자,,著者,,명,著者,B
2031,저쪽,,あちら,,대,,A
4016,저축,,貯蓄,,명,貯蓄,B
1245,저희,,私たち、私ども,「저」の複数形。,대,,B
363,적01,,こと,経験を表す。「한 적이 있다」は「したことがある」を意味する。,의,,B
2665,적02,,敵,,명,敵,B
2167,적극,,積極,,명,積極,B
1279,적극적,,積極的,,명,積極的,B
1334,적다01,,記す,,동,답을 ~,A
590,적다02,,少ない,,형,경험이 ~,A
2583,적당하다,,適当だ,,형,適當-,B
2780,적당히,,適当に,,부,適當-,B
1447,적어도,,少なくとも,,부,,B
8918,적어지다,,少なくなる,,동,,B
2454,적용하다,,適用する,,동,適用-,B
115,전01,,前（時間的な）,,명,前,A
534,전02,,（時間的な）前,,관,前,A
3495,전공,,専攻,,명,專攻,B
709,전국,,全国,,명,全國,B
1834,전기,,電気,,명,電氣,B
6884,전기밥솥,,電気炊飯器,,명,,B
3372,전날,,前の日,,명,前-,B
2424,전달하다,,伝達する,,동,傳達-,B
,전라도,,全羅道,韓国に八つある道（大きな地方の単位）のうちの一つ。朝鮮半島の南西部に位置する。,고,全羅道,B
1015,전문,,専門,,명,專門,B
1379,전문가,,専門家,,명,專門家,B
3202,전부,,全部,,명,全部,B
2293,전자,,電子,,명,電子,B
533,전쟁,,戦争,,명,戰爭,B
4643,전철,,電車,韓国の鉄道は都市間鉄道と都市内鉄道に二分されるが、そのうち都市内鉄道のことを指す。,명,電鐵,B
329,전체,,全体,,명,全體,B
2393,전체적,,全体的,,명,全體的,B
881,전통,,伝統,,명,傳統,B
2455,전통적,,伝統的,,명,傳統的,B
797,전하다,,伝える、渡す,,동,傳-,B
2294,전해지다,,伝わる,,동,傳-,B
496,전혀,,全く,後ろに否定表現を伴う。,부,全-,B
375,전화,,電話,,명,電話,A
7360,전화기,,電話機,,명,電話機,B
3836,전화번호,,電話番号,,명,電話番號,A
4461,전화하다,,電話する,,동,電話-,A
2510,절01,,寺,,명,사찰,B
3327,절02,,お辞儀,,명,~을 하다,B
3434,절대,,絶対,,부,絶對,B
2477,절대로,,絶対に,,부,絶對-,B
2394,절반,,半分,,명,折半,B
6676,절약하다,,節約する,,동,節約-,B
528,젊다,,若い,,형,,B
1255,젊은이,,若者,,명,,B
109,점01,,点、[黒子>ほくろ],,명,點,B
1577,점02,,～点,,의,點,B
3602,점수,,点数,,명,點數,B
2256,점심,,昼ご飯、昼ご飯の時間,,명,點心,A
9328,점심때,,昼ご飯の時間,,명,點心-,B
6132,점심시간,,昼ご飯の時間,,명,點心時間,A
8536,점원,,店員,,명,店員,B
1143,점점,,少しずつ,,부,漸漸,B
1285,점차,,少しずつ,,부,漸次,B
4234,접시,,皿,,명,,B
4550,젓가락,,箸,,명,,A
2559,젓다,,混ぜる,主に液体を撹拌するときに用いる。,동,,B
2269,정,,情,,명,情,B
9769,정거장,,～駅,鉄道の駅やバス停の数を数える単位。,명,停車場,B
7906,정답,,答え、正答,,명,正答,B
86,정도,,程度、～ぐらい,,명,程度,B
5966,정류장,,停留所,,명,停留場,A
2323,정리,,整理,,명,整理,B
1212,정리하다,,整理する,,동,整理-,B
349,정말,,本当、本当に,,부,正-,A
2425,정말로,,本当、本当に,,부,正-,B
4305,정문,,正門,,명,正門,B
435,정보,,情報,,명,情報,B
1931,정상,,頂上,,명,頂上,B
2609,정식,,正式,,명,正式,B
319,정신,,精神,,명,精神,B
2270,정신적,,精神的,,명,精神的,B
5276,정원,,庭園,,명,庭園,B
234,정치,,政治,,명,政治,B
2844,정치적,,政治的,,명,政治的,B
803,정하다,,決める,,동,定-,B
2939,정해지다,,決まる,,동,定-,B
1016,정확하다,,正確だ,,형,正確-,B
2257,정확히,,正確に,,부,正確-,B
1466,젖다,,濡れる,,동,,B
1440,제공하다,,提供する,,동,提供-,B
619,제대로,,まともに,,부,,B
1524,제목,,タイトル、題目,,명,題目,B
3547,제발,,どうか,,부,,B
3162,제법,,かなり,,부,,B
733,제일,,一番、最も,,명,第一,A
,제주도,,済州島、済州道,朝鮮半島の南西にある島。気候が温暖で観光地として人気がある。,고,濟州島,A
2976,제출하다,,提出する,,동,提出-,B
516,제품,,製品,,명,製品,B
2222,제한,,制限,,명,制限,B
2907,조각,,彫刻,,명,彫刻,B
468,조건,,条件,,명,條件,B
2324,조그맣다,,小さい,,형,,B
663,조금,,少し,,명,,A
1735,조금씩,,少しずつ,,부,,B
336,조사,,調査,,명,調査,B
885,조사하다,,調査する,,동,調査-,B
1583,조상,,祖先,,명,祖上,B
2977,조심스럽다,,気を付けている,,형,操心-,B
2666,조심하다,,気を付ける,,동,操心-,B
2610,조용하다,,静かだ,,형,,A
2047,조용히,,静かに,,부,,B
4835,조카,,甥と姪,,명,,B
9778,존댓말,,敬語,,명,尊待-,B
7913,졸다,,ウトウトする,,동,,B
2845,졸업,,卒業,,명,卒業,A
6307,졸업생,,卒業生,,명,卒業生,B
2145,졸업하다,,卒業する,,동,卒業-,A
90,좀,,ちょっと,日本語の「ちょっと」同様、依頼表現の語感を柔らかくするために用いられる。,부,조금,A
1754,좁다,,狭い,,형,,B
1810,종,,種[しゅ],,명,種,B
921,종교,,宗教,,명,宗敎,B
,종로,,鍾路,東西に伸びるソウルの繁華街。,고,鍾路,B
973,종류,,種類,,명,種類,B
2512,종업원,,従業員,,명,從業員,B
1423,종이,,紙,,명,,A
10245,종이컵,,紙コップ,,명,#NAME?,B
3499,종일,,一日中,,명,終日,B
1266,종합,,総合,,명,綜合,B
45,좋다,,良い,,형,,A
3500,좋아지다,,良くなる,,동,,B
438,좋아하다,,好きだ、好む,,동,,A
4464,좌석,,座席,,명,座席,B
2724,죄송하다,,申し訳ない,,형,罪悚-,A
2183,주01,,週,,명,週,A
2585,주02,,～週,,의,週,A
101,주다,,あげる、くれる,,동,,A
641,주로,,主に,,부,主-,B
1933,주말,,週末,,명,週末,A
2348,주머니,,ポケット,,명,,B
2699,주먹,,拳,,명,,B
5816,주무시다,,お休みになる,「자다」（寝る）の尊敬語。,동,,B
5408,주문하다,,注文する,,동,注文-,B
654,주변,,周辺,,명,周邊,B
1765,주부,,主婦、主夫,,명,主婦,B
5409,주사,,注射,,명,注射,B
4836,주소,,住所,,명,住所,A
5553,주스,,ジュース,,명,juice,A
1058,주요,,主要,,명,主要,B
743,주위,,周囲,,명,周圍,B
825,주인,,主人,日本語の「主人」とは異なり「夫」という意味はない。,명,主人,A
1310,주인공,,主人公,,명,主人公,B
503,주장하다,,主張する,,동,主張-,B
836,주제,,テーマ、主題,,명,主題,B
14862,주차,,駐車,,명,駐車,B
5143,주차장,,駐車場,,명,駐車場,B
19443,주차하다,,駐車する,,동,駐車-,B
1478,주택,,住宅,,명,住宅,B
4381,죽,,粥,,명,粥,B
231,죽다,,死ぬ,,동,굶어 ~,A
985,죽음,,死、死ぬこと,,명,,B
1215,죽이다,,殺す,,동,굶겨 ~,B
1074,준비,,準備,,명,準備,A
5554,준비되다,,準備できる,,동,準備-,B
3950,준비물,,準備物,,명,準備物,B
1107,준비하다,,準備する,,동,準備-,A
1205,줄01,,紐,,명,~로 감다,B
343,줄02,,術[すべ],主に「할 줄 알다」（する術を知っている、することができる）という可能表現で使われる。,의,방법,B
2325,줄기,,茎,,명,,B
2810,줄다,,減る,,동,,B
8219,줄무늬,,縞模様,,명,,B
896,줄이다,,減らす,,동,,B
2781,줍다,,拾う,,동,,B
66,중,,～中[ちゅう],,의,中,B
1681,중간,,中間,,명,中間,B
,중국,,中国,,고,中國,A
19454,중국어,,中国語,,명,中國語,A
11408,중국집,,中国料理店,,명,中國-,B
308,중심,,中心,,명,中心,B
5974,중요,,重要,,명,重要,B
2725,중요성,,重要性,,명,重要性,B
220,중요하다,,重要だ,,형,重要-,A
1996,중학교,,中学校,,명,中學校,A
5053,중학생,,中学生,,명,中學生,A
3250,쥐,,鼠[ねずみ],,명,동물,B
1413,쥐다,,握る,,동,주먹을 ~,B
267,즉,,即ち,,부,卽,B
2611,즉시,,即時、すぐに,,명,卽時,B
3203,즐거움,,楽しみ,,명,,B
9345,즐거워하다,,楽しむ,,동,,B
1002,즐겁다,,楽しい,,형,,A
687,즐기다,,楽しむ,,동,,B
2271,증상,,症状,,명,症狀,B
4021,증세,,症状,,명,症勢,B
688,지,,ある時期から今までの時間,「온 지 3년이 지났다」（来てから3年が過ぎた）などの形式で用いられる。,의,만난 ~ 오래되다,B
3888,지갑,,財布,,명,紙匣,A
2811,지구01,,地区,,명,地區,B
773,지구02,,地球,,명,地球,B
176,지금,,今,,명,只今,A
961,지나가다,,過ぎる、過ぎていく,,동,,B
97,지나다,,過ぎる,,동,,B
1059,지나치다,,通り過ぎる、度が過ぎる,,형,,B
1643,지난달,,先月,,명,,A
3331,지난번,,この前,,명,#NAME?,B
7371,지난주,,先週,,명,#NAME?,A
523,지난해,,昨年,「작년」よりも固い表現。,명,,B
600,지내다,,過ごす,,동,,A
2751,지다01,,（日が）落ちる,,동,해가 ~,B
3204,지다02,,負ける,,동,전쟁에 ~,B
1776,지다03,,背負う,,동,등에 ~,B
1901,지도,,地図,,명,地圖,A
1644,지르다,,（声を）大きく出す,,동,소리를 ~,B
275,지방,,地方,,명,地方,B
2478,지붕,,屋根,,명,,B
162,지역,,地域,,명,地域,B
11421,지우개,,消しゴム、黒板消し、イレーサー,文字を消すもの全般を示す。,명,,A
2812,지우다,,消す,,동,낙서를 ~,A
3298,지점,,地点,,명,地點,B
2258,지치다,,疲れる,,동,일에 ~,B
381,지키다,,守る,,동,,B
1745,지하,,地下,,명,地下,A
11424,지하도,,地下道,,명,地下道,B
1755,지하철,,地下鉄,,명,地下鐵,A
1578,직업,,職業,,명,職業,B
1187,직원,,職員,,명,職員,B
1052,직장,,職場,,명,職場,B
561,직접,,直接、手作りで,,부,直接,B
7378,진달래,,ツツジ,,명,,B
1431,진짜,,本物、本当に,,부,眞-,B
2782,진출,,進出,,명,進出,B
3018,진하다,,濃い,液体の味や濃度が濃いことを示す。,형,津-,B
1246,진행되다,,進む、進行する,,동,進行-,B
2587,진행하다,,進める、進行する,,동,進行-,B
2667,질,,質,,명,質,B
1144,질문,,質問,,명,質問,A
7634,질문하다,,質問する,,동,質問-,A
607,질서,,秩序,,명,秩序,B
2538,짐,,荷物,,명,,B
49,집,,家、料理店,,명,,A
1756,집다,,指でつまむ,,동,,B
1213,집안,,家の中,,명,,B
2243,집중,,集中,,명,集中,B
1525,짓,,行為,,명,,B
247,짓다,,建てる,,동,,B
2482,짙다,,濃い,,형,,B
9356,짜다,,塩辛い,,형,음식이 ~,A
3663,짜증,,イライラ,,명,,B
856,짧다,,短い,,형,,A
7637,짧아지다,,短くなる,,동,,B
6142,쪽01,,ページ,,명,면,B
233,쪽02,,方[ほう],,의,방향,A
6693,찌개,,チゲ鍋,肉、魚、野菜、豆腐などの具材を、スープで煮込んだ韓国の伝統的な鍋料理。,명,,A
7638,찌다,,（肉が）付く,,동,살이 ~,B
2668,찌르다,,刺す、突く,,동,,B
1188,찍다,,（判子を）押す,,동,서류에 도장을 ~,A
417,차01,,車,,명,車,A
3052,차02,,茶,,명,茶,A
2067,차갑다,,（物体・態度が）冷たい,,형,,B
7386,차남,,次男,,명,次男,B
2223,차다01,,蹴る,,동,공을 ~,B
3716,차다02,,（天候が）冷たい,,형,날씨가 ~,B
658,차례,,順序,,명,次例,B
1386,차리다,,セットする、配膳する,,동,,B
557,차이,,違い,,명,差異,B
1567,착하다,,優しい、善良である,評価するようなニュアンスがあるので、目上の人には使わない。,형,,B
4740,찬물,,冷たい水,,명,,B
622,참,,本当、まったく,,부,참으로,A
2456,참가하다,,参加する,,동,參加-,B
2813,참기름,,ゴマ油,焙煎した白ごまを圧搾して作られる。,명,,B
1053,참다,,我慢する、耐える,,동,,B
1966,참석하다,,参席する,,동,參席-,B
8562,찻잔,,ティーカップ,,명,茶盞,B
3439,창고,,倉庫,,명,倉庫,B
2033,창문,,窓,,명,窓門,A
2483,창밖,,窓の外,,명,窓-,B
191,찾다,,探す、見つける,,동,,A
1424,찾아가다,,会いに行く,,동,,B
2326,찾아내다,,探し出す、見つけ出す,,동,,B
1112,찾아보다,,探してみる,,동,,B
1023,찾아오다,,会いに来る,,동,,B
5417,채널,,チャンネル,,명,channel,B
3053,채소,,野菜,,명,菜蔬,B
1777,채우다,,埋める、満たす,,동,자리를 ~,B
215,책,,本,,명,冊,A
7640,책가방,,通学カバン,小学生～高校生が通学する時に使うカバン。リュック形式であることが多い。,명,冊-,B
10808,책방,,個人経営の小型書店,,명,冊房,B
1653,책상,,机,,명,冊床,A
758,책임,,責任,,명,責任,B
2669,책임자,,責任者,,명,責任者,B
5978,챔피언,,チャンピオン,,명,champion,B
1495,챙기다,,準備をする、世話をする,必要なものごとが不足しないように常に気を使うことを意味する。,동,,B
184,처음,,初めて,,명,,A
24937,천,,1000,,수,千,A
1683,천천히,,ゆっくり,,부,,A
4945,철,,季節,,명,계절,B
670,첫,,初めての,,관,,B
3664,첫날,,最初の日,,명,,B
1728,첫째,,1番目,,수,,A
2259,청년,,青年,,명,靑年,B
10274,청바지,,ジーンズ,,명,靑-,A
2484,청소,,掃除,,명,淸掃,A
19549,청소기,,掃除機,,명,淸掃機,B
1108,청소년,,青少年,,명,靑少年,B
4946,청소하다,,掃除する,,동,淸掃-,A
1396,체육,,体育,,명,體育,B
4241,체중,,体重,,명,體重,B
1206,쳐다보다,,じっと見る、凝視する,,동,,B
1181,초01,,～初め,,의,初,B
2034,초02,,～秒,,의,秒,B
7129,초대,,招待,,명,招待,A
5293,초대하다,,招待する,,동,招待-,A
9369,초등학교,,小学校,,명,初等學校,A
16217,초록색,,緑色,,명,草綠色,B
6147,초밥,,寿司,,명,醋-,B
9370,초보,,初歩,,명,初步,B
9811,초보자,,初心者,,명,初步者,B
9812,초청장,,招待状,,명,招請狀,B
8235,초콜릿,,チョコレート,,명,chocolate,A
1801,총장,,（総合大学の）学長,,명,總長,B
2120,촬영,,撮影,,명,撮影,B
587,최고,,最高,,명,最高,B
278,최근,,最近,,명,最近,B
1468,최대,,最大,,명,最大,B
2612,최선,,最善,,명,最善,B
2168,최소한,,最小限,,명,最小限,B
1175,최초,,最初,,명,最初,B
2426,추다,,踊る,,동,춤을 ~,A
2752,추억,,思い出,,명,追憶,B
3504,추위,,寒さ,,명,,B
1317,축구,,サッカー,,명,蹴球,A
16227,축구공,,サッカーボール,,명,蹴球-,B
2562,축제,,祭り,,명,祝祭,B
5982,축하,,祝い,,명,祝賀,B
4656,축하하다,,祝う,,동,祝賀-,A
6149,출구,,出口,,명,出口,B
4470,출근,,出勤,,명,出勤,B
5420,출근하다,,出勤する,,동,出勤-,B
2881,출발,,出発,,명,出發,B
1982,출발하다,,出発する,,동,出發-,A
2272,출연하다,,出演する,,동,出演-,B
3955,출입,,出入り,,명,出入,B
6150,출입문,,出入口,,명,出入門,B
5686,출장,,出張,,명,出張,B
1458,춤,,踊り、ダンス,,명,,A
5154,춤추다,,踊りを踊る,,동,,A
1654,춥다,,寒い,,형,,A
1595,충격,,ショック、衝撃,,명,衝擊,B
1624,충분하다,,十分だ,,형,充分-,B
1207,충분히,,十分に,,부,充分-,B
,충청도,,忠清道,韓国にある八つの道の一つ。朝鮮半島の中央部に位置する。,고,忠淸道,B
2671,취미,,趣味,,명,趣味,A
5983,취소,,キャンセル、取消し,,명,取消,B
5421,취소하다,,キャンセルする、取り消す,,동,取消-,B
4844,취직,,修飾,,명,就職,B
1113,취하다01,,取る,,동,取-,B
2225,취하다02,,酔う,,동,醉-,B
922,층,,階、層,,명,層,A
8960,치과,,歯科,,명,齒科,B
366,치다,,打つ,,동,얼굴을 ~,A
1542,치료,,治療,,명,治療,B
3718,치료하다,,治療する,,동,治療-,B
2457,치마,,スカート,,명,,A
7649,치약,,歯磨き粉,,명,齒藥,A
3134,치우다,,片付ける,,동,,B
2035,치즈,,チーズ,,명,cheese,B
147,친구,,友達,,명,親舊,A
6318,친절,,親切,,명,親切,B
3894,친절하다,,親切だ,,형,親切-,A
2458,친척,,親戚,,명,親戚,B
3209,친하다,,親しい,,형,親-,B
14947,칠,,7,,수,七,A
19607,칠십,,70,,수,七十,A
1404,칠월,,7月,,명,七月,A
10833,칠판,,黒板,,명,漆板,A
1670,침대,,ベッド、寝台,,명,寢臺,A
6319,침실,,寝室,,명,寢室,B
8589,칫솔,,歯ブラシ,,명,齒-,A
2947,칭찬,,褒めること、称賛,,명,稱讚,B
2184,카드,,カード,,명,card,A
9816,카레,,カレー,,명,curry,B
2298,카메라,,カメラ,,명,camera,A
3895,카운터,,カウンター,,명,계산대,B
